Date,Initial Amt,S&P 500,2m+1f,2m+2f,3m+1f,3m+2f,1m+2f,1m+1f,
2011-04,10000,10000,10000,10000,10000,10000,10000,10000,
2011-05,10000,9657,9646,9682,9956,9862,9614,9510,
2011-06,10000,9842,9731,9660,10044,9977,9480,9271,
2011-07,10000,9454,9836,9508,9620,9615,9096,8880,
2011-08,10000,8848,10404,9804,10176,9957,9308,9393,
2011-09,10000,8075,11234,10213,10988,10371,9696,10143,
2011-10,10000,8950,9923,9599,9706,9748,9134,8959,
2011-11,10000,9143,10170,9623,9689,9736,9294,9089,
2011-12,10000,9344,11833,10866,9809,9827,9187,8227,
2012-01,10000,9727,11913,11145,9875,10080,8967,8596,
2012-02,10000,10095,12654,11840,10489,10449,9526,9130,
2012-03,10000,10425,13320,12213,11042,10779,9827,9226,
2012-04,10000,10328,13119,11968,10876,10562,9629,9087,
